x,y
1,1.0
2,1.04
3,1.005
4,0.979
5,1.016
6,0.972
7,1.019
8,0.986
9,0.98
10,1.02
11,0.982
12,1.044
13,0.952
14,0.984
15,0.997
16,0.984
17,1.042
18,0.995
19,1.025
20,1.065
21,0.987
22,0.96
23,1.04
24,0.973
25,0.997
26,0.979
27,1.034
28,1.017
29,0.946
30,1.048
31,1.05
32,1.013
33,1.004
34,1.059
35,0.997
36,0.957
37,0.957
38,1.005
39,0.994
40,1.038
41,1.017
42,1.04
43,1.009
44,1.006
45,0.971
46,0.988
47,1.019
48,1.024
49,1.001
50,1.021
51,0.928
52,0.957
53,0.959
54,0.931
55,1.041
56,0.965
57,1.04
58,1.092
59,1.013
60,1.016
61,0.989
62,1.009
63,0.948
64,1.03
65,1.007
66,0.969
67,1.036
68,0.996
69,0.993
70,1.001
71,1.017
72,1.034
73,1.021
74,0.94
75,1.008
76,0.942
77,1.002
78,1.004
79,1.01
80,1.001
81,1.022
82,0.997
83,1.03
84,0.972
85,0.962
86,1.032
87,1.057
88,1.011
89,1.007
90,1.035
91,1.03
92,0.988
93,1.05
94,0.999
95,0.986
96,0.998
97,1.018
98,1.013
99,1.032
